year,elec
1998,73.196235388656
1999,74.5032105116741
2000,78.2214008583172
2001,78.7152432244994
2002,79.1007987332702
2003,79.9649010273987
2004,79.9521476684051
2005,80.7013310816536
2006,81.3534633010675
2007,81.9711576658049
2008,82.6681723773023
2009,82.8658227064747
2010,83.4471382973514
2011,84.5062333878765
2012,84.9363734839566
2013,85.7108410210463
2014,86.1958012620982
2015,86.9242629695724
2016,88.1047725764967
2017,88.9320882686089
2018,89.797731809362
2019,90.108768771248
2020,90.3960882790908
2021,91.3346473455962
2022,91.2892451043255
2023,91.6001373568565
